fix,lat,lon
11451,34.519161,-079.461269
11452,34.696517,-079.704447
11453,29.002403,-081.033917
11454,29.293183,-083.020067
11455,29.376081,-082.442436
11456,37.526008,-080.829164
11457,39.020556,-075.700456
11458,38.612267,-080.599700
11459,39.719828,-076.214619
11462,39.181833,-075.792906
11463,38.866139,-075.612369
11464,39.150125,-080.029300
11465,39.385347,-079.495714
11466,39.171417,-075.786906
11468,40.319872,-081.673372
11470,39.820600,-081.562372
11471,40.599808,-081.787939
11472,40.269497,-077.863411
11474,42.842614,-082.127450
11475,43.001775,-079.467833
11476,43.066758,-076.759925
11477,42.509708,-076.860456
11478,42.548903,-076.218650
11480,36.112194,-107.864861
11482,33.998075,-110.350303
11483,34.396483,-109.863106
11484,34.411650,-109.844383
11485,34.605367,-109.604800
11486,35.503633,-108.429519
11488,35.926264,-108.162428
11489,36.101736,-107.604606
11492,45.158853,-067.249325
11494,29.657889,-095.589222
11496,29.774908,-093.984031
11499,43.944753,-076.558092
11501,44.411200,-074.502861
11504,48.999836,-122.572858
11505,32.383542,-111.494750
11506,32.665889,-111.726722
11514,41.314956,-122.352539
11517,38.068300,-113.298489
11520,31.252883,-104.083803
11528,39.284028,-099.167278
11529,39.305639,-096.766028
11530,39.303250,-096.161167
11569,34.102783,-116.332119
11570,34.019789,-115.293814
11576,44.606036,-119.354586
11577,41.116603,-121.653628
11578,41.458619,-119.366058
11579,44.716675,-106.001436
11580,42.457181,-106.975883
11581,44.281956,-101.451836
11582,42.363364,-099.013906
11583,42.917758,-091.534144
11584,42.319706,-093.335483
11585,42.097542,-093.379319
11586,33.907506,-078.028322
11587,34.437858,-078.962194
11588,30.000250,-078.633708
11593,38.116433,-088.079867
11594,38.905844,-080.478172
11595,38.462078,-080.631842
11625,31.701331,-106.376481
11626,27.455936,-099.493236
11627,25.862219,-097.435700
11642,36.982517,-080.427856
11653,38.138931,-117.270528
11660,31.854153,-103.581431
11676,31.568567,-093.916272
11679,33.295486,-092.969106
11680,33.508694,-092.645278
11681,33.554972,-092.627194
11683,34.198922,-092.270672
11689,32.649228,-115.697778
11695,43.667917,-084.470947
11697,43.247500,-084.035500
11702,41.098689,-121.531844
11703,41.080522,-121.528511
11704,38.702931,-121.109778
11705,37.985694,-120.965056
11706,37.890064,-120.923461
11707,37.850397,-120.906211
11708,36.807975,-120.460339
11709,35.730350,-120.012719
11711,69.171583,-141.000000
11712,34.261158,-079.266961
11713,34.303111,-078.651486
11714,34.342667,-078.611706
11715,34.430911,-079.169314
11716,35.075969,-077.864175
11717,35.145994,-077.791839
11722,39.824567,-098.978858
11725,48.999825,-123.136031
11726,48.738711,-123.106856
11727,48.895658,-123.123528
11749,45.449228,-122.973742
11750,47.273400,-122.936033
11751,47.694981,-122.984494
11752,48.259011,-123.050564
11754,46.375286,-120.969156
